Date,USHST=ECI,USGPCS=ECI,USPMI=ECI,CHCPI=ECI,CHRS=ECI,DECONS=ECI,DEIPY=ECI,AUJOBL=ECI,AUBOGS=ECI,GBPCOY=ECI
2012-01-31,723000.0,0.7,54.2,-0.4,3.7,5.6,1.67,5.0,-2399000000.0,2.3
2012-02-29,704000.0,0.8,53.3,0.3,0.9,5.7,-0.1,5.2,-1375000000.0,2.5
2012-03-31,695000.0,0.1,53.5,0.6,5.2,5.9,1.75,5.2,-2167000000.0,2.1
2012-04-30,753000.0,0.2,55.2,0.1,-0.4,5.9,-0.21,5.0,-1001000000.0,1.5
2012-05-31,708000.0,-0.1,53.2,0.0,5.6,5.8,0.51,5.2,-1182000000.0,1.4
2012-06-30,757000.0,-0.2,49.5,-0.3,4.3,5.7,1.14,5.2,-1250000000.0,1.0
2012-07-31,740000.0,0.2,49.6,-0.5,2.8,5.7,-1.11,5.2,-1626000000.0,0.6
2012-08-31,754000.0,0.4,49.0,0.0,6.1,5.8,-0.51,5.2,-2407000000.0,0.4
2012-09-30,847000.0,0.4,50.8,0.3,4.8,6.0,0.21,5.5,-2357000000.0,0.3
2012-10-31,915000.0,0.3,50.5,0.1,2.9,6.0,-2.44,5.4,-2355000000.0,0.5
2012-11-30,833000.0,0.4,48.0,-0.3,3.1,6.1,-2.75,5.3,-3114000000.0,0.4
2012-12-31,976000.0,0.0,50.1,-0.2,4.4,6.0,-1.55,5.4,-1718000000.0,0.5
2013-01-31,888000.0,0.6,53.3,-0.3,1.7,5.8,-2.57,5.4,-2043000000.0,0.7
2013-02-28,962000.0,0.3,54.2,0.3,2.4,5.7,-1.45,5.4,-1777000000.0,0.7
2013-03-31,1010000.0,-0.1,51.9,0.2,-0.4,5.9,-2.23,5.6,-757000000.0,0.8
2013-04-30,835000.0,-0.1,51.0,0.0,2.7,6.0,0.31,5.6,-1146000000.0,0.7
2013-05-31,930000.0,0.3,50.8,0.1,1.6,6.2,-2.23,5.6,-701000000.0,0.5
2013-06-30,839000.0,0.2,51.1,0.1,2.0,6.5,0.41,5.7,-579000000.0,0.6
2013-07-31,880000.0,0.2,53.8,-0.4,0.7,6.8,-1.42,5.6,-1197000000.0,0.7
2013-08-31,917000.0,0.3,54.0,-0.1,2.6,7.0,0.2,5.8,-1091000000.0,0.9
2013-09-30,850000.0,0.3,54.6,0.3,1.0,7.0,0.72,5.7,-317000000.0,0.8
2013-10-31,925000.0,0.4,54.6,-0.1,1.4,7.1,1.56,5.8,-446000000.0,0.6
2013-11-30,1100000.0,0.6,55.5,0.0,4.4,7.1,3.98,5.8,-294000000.0,0.7
2013-12-31,1002000.0,0.2,56.5,-0.2,2.6,7.4,4.19,5.9,300000000.0,0.7
2014-01-31,888000.0,-0.1,52.5,-0.3,0.1,7.6,4.64,5.9,924000000.0,1.0
2014-02-28,944000.0,0.6,55.0,0.1,1.2,8.3,4.2,5.9,919000000.0,1.0
2014-03-31,970000.0,0.7,55.9,0.4,2.7,8.5,2.8,5.9,318000000.0,0.9
2014-04-30,1042999.9999999999,0.4,56.6,0.1,1.3,8.5,1.65,5.8,-330000000.0,0.8
2014-05-31,1006999.9999999999,0.4,55.7,0.3,-0.1,8.5,1.77,5.9,-1417000000.0,1.0
2014-06-30,911000.0,0.5,55.0,-0.1,3.1,8.6,0.31,6.0,-1193000000.0,1.0
2014-07-31,1085000.0,0.3,55.1,-0.4,-0.5,8.9,2.99,6.2,-773000000.0,0.9
2014-08-31,984000.0,0.7,56.3,0.0,1.2,8.9,-2.03,6.1,-1023000000.0,0.8
2014-09-30,1022999.9999999999,0.1,55.7,0.1,0.7,8.6,0.51,6.2,-2340000000.0,0.8
2014-10-31,1074000.0,0.6,56.2,0.0,0.6,8.4,1.33,6.4,-983000000.0,0.9
2014-11-30,1000999.9999999999,0.2,56.3,0.0,-0.9,8.5,-0.3,6.3,-1770000000.0,0.9
2014-12-31,1073000.0,0.1,55.7,-0.5,1.8,8.7,1.01,6.1,-1004000000.0,0.9
2015-01-31,1085000.0,-0.3,53.9,-0.4,0.6,9.0,-0.3,6.3,-1429000000.0,0.4
2015-02-28,886000.0,0.4,53.0,-0.3,-1.0,9.3,0.1,6.2,-2054000000.0,0.3
2015-03-31,960000.0,0.4,52.1,0.3,-0.7,9.7,0.4,6.1,-2216000000.0,0.2
2015-04-30,1190000.0,0.3,51.9,-0.2,0.3,10.0,1.32,6.1,-3880000000.0,0.3
2015-05-31,1079000.0,0.5,52.9,0.2,0.6,10.1,2.35,5.9,-3243000000.0,0.2
2015-06-30,1205000.0,0.3,52.5,0.1,0.4,10.2,1.73,6.0,-3803000000.0,0.2
2015-07-31,1146000.0,0.5,52.0,-0.6,2.1,10.1,1.5,6.3,-2514000000.0,0.2
2015-08-31,1130000.0,0.3,50.2,-0.2,-0.8,10.1,2.9,6.1,-2953000000.0,0.2
2015-09-30,1224000.0,0.0,50.1,0.1,0.2,9.9,0.61,6.2,-3068000000.0,0.2
2015-10-31,1058000.0,0.0,49.1,0.1,0.3,9.9,1.11,5.9,-3577000000.0,0.2
2015-11-30,1172000.0,0.3,49.1,-0.1,-0.8,9.4,0.1,5.9,-3556000000.0,0.0
2015-12-31,1146000.0,0.3,48.7,-0.4,-1.0,9.3,-0.6,5.7,-4277000000.0,0.1
2016-01-31,1092000.0,0.2,47.6,-0.4,-0.3,9.4,2.63,6.0,-3622000000.0,0.5
2016-02-29,1225000.0,0.6,49.2,0.2,-0.4,9.4,2.42,5.7,-3479000000.0,0.3
2016-03-31,1111000.0,-0.2,51.0,0.3,-1.1,9.5,1.31,5.6,-2847000000.0,0.5
2016-04-30,1163000.0,0.6,51.3,0.3,-1.1,9.4,1.0,5.6,-1761000000.0,0.5
2016-05-31,1148000.0,0.3,51.4,0.1,-1.1,9.7,-0.6,5.7,-1931000000.0,0.6
2016-06-30,1203000.0,0.6,52.2,0.1,-3.1,9.8,1.5,5.7,-3131000000.0,1.0
2016-07-31,1239000.0,0.1,52.7,-0.4,-2.1,10.1,-0.79,5.7,-1503000000.0,1.7
2016-08-31,1171000.0,0.2,49.8,-0.1,-1.9,10.0,2.62,5.6,-1887000000.0,2.0
2016-09-30,1068000.0,0.4,51.1,0.1,-1.4,10.2,2.32,5.7,-799000000.0,2.0
2016-10-31,1313000.0,0.2,51.8,0.1,0.2,10.0,2.1,5.6,-1023000000.0,2.7
2016-11-30,1140000.0,0.2,53.2,-0.2,1.3,9.7,2.93,5.8,2188000000.0,2.9
2016-12-31,1252000.0,0.9,54.4,-0.1,-3.1,9.8,0.5,5.8,4072000000.0,2.9
2017-01-31,1190000.0,0.4,55.7,0.0,0.8,9.9,-0.59,5.7,953000000.0,3.2
2017-02-28,1271000.0,0.1,57.7,0.5,1.8,10.2,0.88,5.9,2278000000.0,3.5
2017-03-31,1190000.0,0.4,56.5,0.2,4.0,10.0,1.29,5.8,1703000000.0,3.6
2017-04-30,1146000.0,0.2,55.8,0.2,-0.1,9.8,2.77,5.6,-70000000.0,3.7
2017-05-31,1157000.0,0.0,56.4,0.2,0.7,10.2,4.41,5.5,2231000000.0,3.6
2017-06-30,1249000.0,0.4,56.2,-0.1,3.2,10.4,2.56,5.6,752000000.0,3.4
2017-07-31,1206000.0,0.2,56.5,-0.3,1.3,10.6,3.98,5.6,819000000.0,2.9
2017-08-31,1159000.0,0.3,58.4,0.0,0.5,10.8,4.51,5.5,480000000.0,2.9
